,Backers,Category,Country,Goal,Name,Pledged,State
61,2,Ceramics,US,1000000.0,æggz ~ an evolution of shape,40.0,failed
62,2,Ceramics,CA,1500.0,Banff Artist in Residence,106.4260015,failed
63,3,Ceramics,US,1000.0,PAWfect Paintings Pottery Expansion,52.0,failed
64,1,Ceramics,US,7500.0,Paint with Me,1.0,failed
65,8,Ceramics,US,700.0,Alisha's Pottery Studio,345.0,failed
66,7,Ceramics,US,1500.0,Mug Life! Ceramic Mugs,135.0,failed
67,8,Ceramics,US,2500.0,"Christina Romeo Ceramic Shop ""Ceni""",361.0,failed
68,0,Ceramics,US,2000.0,Ian the gnome,0.0,failed
69,22,Ceramics,US,5000.0,Anagama Kiln in Denver,1655.0,failed
70,0,Ceramics,US,80000.0,Clay for Us Sinners,0.0,failed
71,1,Ceramics,US,2600.0,F-art! Ceramic & Glass Studio,10.0,failed
72,42,Ceramics,US,26000.0,Vessels of Clay. Center of Creativity: Alchemy of Putney,6580.0,failed
73,2,Ceramics,US,5000.0,Pisces Pottery Studio Renovation,16.0,failed
74,4,Ceramics,US,5000.0,Powerdraft Pottery Kiln,141.0,failed
75,60,Ceramics,US,18240.0,Stone Bone Wood Cloth: Objects of Intention and Inspiration,7788.0,failed
76,3,Ceramics,US,900.0,Custom Pottery,175.0,failed
77,9,Ceramics,US,9400.0,Fermenting for Health,352.0,failed
78,4,Ceramics,US,4738.0,Lonesome Pine Pottery Pugmill,190.0,failed
79,3,Ceramics,US,500.0,Unique clay creations,40.0,failed
80,10,Ceramics,AU,10800.0,Help me go to the Florence Biennale,602.3088786,failed
81,9,Ceramics,US,20000.0,WilcoxsonBrooklynCeramics,276.0,failed
82,24,Ceramics,US,8000.0,Ceramics Studio,1309.0,failed
83,22,Ceramics,US,18500.0,Terra Peters Pottery Studio,4556.0,failed
84,2,Ceramics,US,11800.0,"Rhythm of a Porcelain Tortoise, porcelain project",15.0,failed
85,28,Ceramics,US,28000.0,Radca Ranch School of Ceramics,2915.0,failed
86,5,Ceramics,AU,6000.0,Illustrated Ceramic Artist Calendar,314.6912946,failed
87,0,Ceramics,US,2000.0,Fantasmagoric Ceramics,0.0,failed
88,3,Ceramics,GB,2500.0,My Little Pony Cutie Mark Ceramics,271.0804749,failed
89,3,Ceramics,US,5500.0,WOLFWARE CERAMICS studio start up!,61.0,failed
90,20,Ceramics,US,5000.0,Delores J. Hayes Ceramic Art and Pottery,791.0,failed
91,8,Ceramics,US,3500.0,The Kiln Art Project: TthomasArts,437.0,failed
92,14,Ceramics,US,18000.0,Two Clay Hands Deck Project-Save the Octopus!,2215.0,failed
93,0,Ceramics,US,5000.0,Tayloe Cook's Garage Pottery Studio,0.0,failed
94,1,Ceramics,US,2000.0,Coming home,12.0,failed
95,17,Ceramics,CA,4000.0,Cats in the Kitchen,329.1506097925,failed
96,1,Ceramics,US,7500.0,Artistry Fountains : Cascading pots water fountains,1.0,failed
97,0,Ceramics,US,500.0,Mud Lovin Oven,0.0,failed
98,0,Ceramics,US,15912.0,Clay Arts/Potter's Wheel Classes For The Handicapped,0.0,failed
99,1,Ceramics,US,5500.0,Kiln to Keep!,150.0,failed
100,21,Ceramics,US,5000.0,My Name is Mudd,2075.0,failed
101,1,Ceramics,US,9000.0,The Ultimate Salad Spoon,1.0,failed
102,5,Ceramics,US,3400.0,Rejuvination: Historic General Store to Community Art Space,122.0,failed
103,1,Ceramics,CA,1000.0,The Earthenware Project,35.4448104,failed
104,8,Ceramics,US,3000.0,Daily Interactions: A Sharing of Clay,391.0,failed
105,0,Ceramics,US,4250.0,Future ceramicist needs supplies,0.0,failed
106,6,Ceramics,US,2700.0,Ceramic Pottery Bowls Inspired by Nature,440.0,failed
107,24,Ceramics,US,35000.0,Potters without kilns,1606.0,failed
108,7,Ceramics,US,2000.0,Earth Spun Pottery - Inspiring Artists,104.0,failed
109,2,Ceramics,US,18000.0,"Educational Experiences Combining Art, Animals and Nature",4.0,failed
110,13,Ceramics,US,2500.0,A Very Serious Game,689.0,failed
111,19,Ceramics,US,7500.0,PET ARTISTIC URNS,2125.0,failed
112,0,Ceramics,US,750.0,painted pottery,0.0,failed
113,1,Ceramics,US,1250.0,Pots and Vases and Plates and Bowls,5.0,failed
114,2,Ceramics,US,5500.0,Manic Ceramic Panic,15.0,failed
115,9,Ceramics,US,10000.0,Hooves for Hope,375.0,failed
116,58,Ceramics,US,7500.0,DeLind Ceramics Company,7604.0,successful
117,56,Ceramics,US,5400.0,"""And then, I..."" Monuments to Pivotal Moments",5525.0,successful
118,79,Ceramics,US,4101.0,Wheel Woes: Students for Ceramic Arts,4655.0,successful
119,85,Ceramics,US,5500.0,beautifully crafted handmade ceramics,5991.0,successful
120,56,Ceramics,US,4000.0,Cydney is going to Hungary,4205.0,successful
121,5,Ceramics,US,100.0,Porcelain Stars,101.0,successful
122,45,Ceramics,US,550.0,Camille's Pop-top Pop-up Shop,2161.0,successful
123,34,Ceramics,US,2000.0,Finding Forever Exhibition Opening,2045.0,successful
124,77,Ceramics,US,4500.0,Firing forward,5117.0,successful
125,8,Ceramics,US,650.0,"""Together We Rise"": A Detroit Community Mural Project",675.0,successful
126,45,Ceramics,GB,2000.0,Girl Mad As Birds In Margate: Ceramics and Ehlers Danlos,3171.96598654,successful
127,12,Ceramics,US,7400.0,Reshape CozyMelts Paint Your Own Pottery. Fun rewards!,7400.0,successful
128,25,Ceramics,GB,8000.0,"'CURSE or CURE?' goes to Chelsea Physic Garden, London, UK",1456.17239405,failed
129,1,Ceramics,US,25000.0,"Artists of the World, Unite! studio space for art and ideas!",5.0,failed
130,7,Ceramics,GB,2000.0,Henna art on pottery,219.34259484,failed
131,1,Ceramics,FR,1000.0,The Ceramics Studio at The Maison Salvadore,11.3350411,failed
132,36,Ceramics,US,15000.0,Tamba Project: Restoring Connections through Clay,3387.0,failed
133,0,Ceramics,US,10000.0,launch of New Visions Art Studio,0.0,failed
134,0,Ceramics,US,1000.0,Shared Ceramic Studio Space Needing Supplies,0.0,failed
135,7,Ceramics,US,15400.0,Fund My Pottery Passion,145.0,failed
136,98,Ceramics,US,3888.0,Bringing the Fire to Riverdragon Ceramics!,5225.0,successful
137,24,Ceramics,US,575.0,Handmade Ceramics!,776.0,successful
138,14,Ceramics,US,1000.0,A Tour of Porcelain in Europe,1323.0,successful
139,55,Ceramics,US,3500.0,Handmade Ceramics - 150 pieces in 30 days,3725.0,successful
140,124,Ceramics,US,18000.0,It's Clay Time with Helenske Clayworks,19000.0,successful
141,122,Ceramics,GB,5000.0,The Zulu VooDoo Liberation Taxi,9144.87961348,successful
142,117,Ceramics,US,11652.0,Save Our Soda Kiln!,12577.0,successful
143,57,Ceramics,US,3000.0,HandWerks - Creating the Wheel,3198.0,successful
144,65,Ceramics,US,7000.0,The Artistry of Helen Jean Taylor,8160.0,successful
145,94,Ceramics,US,3000.0,Modern Handmade Ceramics: Paper & Clay,4386.0,successful
146,36,Ceramics,US,1500.0,"Collective Confluence: A Project Space, NCECA 2016",1560.0,successful
147,4,Ceramics,US,50.0,Tiny Tea Shop,117.0,successful
148,25,Ceramics,US,1100.0,Origins: Building The Cerro Gordo Collection in Santa Fe,1286.0,successful
149,14,Ceramics,US,2000.0,International Poetry and the Power of Art,2085.0,successful
150,114,Ceramics,US,5000.0,"SoulStones - Hand-crafted, Porcelain Worry Stones",7628.0,successful
151,25,Ceramics,US,3213.0,Enchiladas Montadas??,3340.0,successful
152,38,Ceramics,US,1500.0,Frankenstein & ShrunkenHeads:Production Studio For Kat Bones,3014.0,successful
153,23,Ceramics,US,550.0,Bowls for Souls,653.0,successful
154,199,Ceramics,US,18000.0,Ten-Nineteen (Return to Station) A 40 Year Retrospective,18537.0,successful
155,42,Ceramics,US,2000.0,Developing My Skills Toward the Next Level in Clay,2620.0,successful
156,88,Ceramics,DK,12000.0,Meadow Ceramics,5973.6559794,successful
157,63,Ceramics,US,3500.0,Waupecony River Studio: Modern Handmade Ceramics by M Bundy,4370.0,successful
158,111,Ceramics,US,15000.0,The Wright Clay: Studio Art Classes,17422.0,successful
159,245,Ceramics,US,15000.0,"""Number 1 Bigfoot"" Beer Stein",25772.0,successful
160,36,Ceramics,US,2000.0,HeartMoss Pottery Studio,2430.0,successful
161,142,Ceramics,US,30000.0,Cobb Mountain Art and Ecology Project,39111.0,successful
162,97,Ceramics,US,5600.0,"Ceramic Exploration, Exhibition & Lecture - LA to Australia",7626.0,successful
163,41,Ceramics,US,3000.0,Chester Springs Studio Wood Kiln Rebuild,4260.0,successful
164,82,Ceramics,US,5600.0,Help James A. Jones fire his art with a new Skutt kiln,5769.0,successful
165,31,Ceramics,US,3000.0,Cut and Reassembled,3051.12,successful
166,47,Ceramics,CA,12500.0,Angel Clay and Dragon Clay. Let's finish the Kiln!,9903.17668203,successful
167,296,Ceramics,US,45000.0,Atelier Dion - Handcrafted Ceramic Producion,50601.0,successful
168,20,Ceramics,GB,700.0,Buy a Pottery Wheel,1049.2778055375,successful
169,57,Ceramics,US,4000.0,Uncommon Place Ceramics,5006.0,successful
170,43,Ceramics,US,3700.0,Ki's Kiln,4511.0,successful
171,119,Ceramics,US,15000.0,BRICK Ceramics Studio Opening!,15299.0,successful
172,70,Ceramics,US,20000.0,"Sierra Nevada College Kiln Structure ""Fire Pots Not Guns""",20857.0,successful
173,27,Ceramics,US,450.0,Ceramic Celtic Cups and Teapots,766.36,successful
174,51,Ceramics,US,5000.0,MJW Ceramics: Fantasy Pottery,6119.0,successful
175,45,Ceramics,US,3398.0,Wood Fired Ceramics Residency in Denmark,4158.0,successful
176,98,Ceramics,US,5500.0,Firecrafted Ceramics and Handmade Porcelain Jewelry,5658.0,successful
177,45,Ceramics,US,6500.0,Upriver Ceramics Studio,6500.0,successful
178,222,Ceramics,US,20000.0,Felt + Fat : A Ceramic Design Studio,26256.0,successful
179,215,Ceramics,CA,25000.0,JUMPING CREEK POTTERY STUDIO EXPANSION,20938.82656467,successful
180,84,Ceramics,US,3000.0,Carli - Ceramics - China,4503.99,successful
181,35,Ceramics,US,900.0,The Neolithic Inspired Studio!,1475.0,successful
182,65,Ceramics,US,10000.0,The Clay Studio of Missoula Gallery Expansion Project,10880.77,successful
183,58,Ceramics,US,5000.0,Form & Fire: 6 Sculptures at Banff Centre,5220.0,successful
184,70,Ceramics,US,5000.0,R+R Ceramics: INSPIRED TABLEWARE,8263.0,successful
185,140,Ceramics,US,16000.0,Help ArtShack Brooklyn Expand Our Ceramics Studio,17486.0,successful
186,128,Ceramics,US,8000.0,Cairn Project: using clay to address trauma,9970.0,successful
187,70,Ceramics,US,2500.0,Becoming the True Me,2988.0,successful
188,133,Ceramics,US,6000.0,Help Dryad Tea Produce Pottery in House!,7666.0,successful
189,24,Ceramics,US,3250.0,Kettenglied's New Kiln,3272.0,successful
190,41,Ceramics,US,2800.0,500 Birds,2935.0,successful
191,16,Ceramics,US,1000.0,Clay is Not Dirt,1039.0,successful
192,24,Ceramics,IE,1000.0,Ireland's Sacred Water.,1169.9742609,successful
193,59,Ceramics,US,4600.0,Bring clay to The Painted Plate,4837.0,successful
194,52,Ceramics,US,3500.0,50 Women-A Celebration of Women's Contribution to Ceramics,3800.0,successful
195,36,Ceramics,US,3500.0,Chestnut Studios Expansion and Grand Opening,4211.0,successful
196,113,Ceramics,US,20000.0,Bklyn Clay: Give Us Gas!,23357.0,live
197,0,Ceramics,DE,4500.0,MONATAU: Ceramic Art,0.0,live
198,52,Ceramics,US,6100.0,Joe Sink Pottery - Anagama Wood Kiln Build,3151.0,live
199,14,Ceramics,NL,20000.0,Little Owl Design: Unique ceramics and wallpapers.,2005.70820352,live
200,21,Ceramics,US,16000.0,Rancho Corvid Community Wood Kiln Project,3050.0,live
201,278,Ceramics,US,20000.0,Pots On Wheels,25732.0,successful
202,233,Ceramics,US,30000.0,Sarah Kersten Handmade Studio,35083.0,successful
203,229,Ceramics,US,25000.0,Mason Hill Clay Studio,25231.0,successful
204,1079,Ceramics,US,6000.0,Krampus Beer Stein,107291.0,successful
205,273,Ceramics,US,16000.0,The Potter and the RAM,22314.5,successful
206,819,Ceramics,US,50000.0,Braddock Tiles,102410.0,successful
207,48,Ceramics,US,3000.0,The Mobile Anagama,3106.0,successful
208,42,Ceramics,CA,1200.0,Zelda : Ocarina of Time replicas - complete ocarina set,3155.51937996,successful
209,79,Ceramics,DE,2000.0,100 cylinders,3625.24392444,successful
210,169,Ceramics,US,6000.0,Building Community through an Annual Pottery Event,11834.0,successful
211,76,Ceramics,US,5000.0,Tandem Ceramics,5884.0,successful
212,88,Ceramics,US,6000.0,NIKO FAR WEST - Northwest Art & Ceramic Design,8171.0,successful
213,508,Ceramics,US,25000.0,Cosmic Mugs: Art that Lets You Taste the Universe Everyday,34099.02,successful
214,62,Ceramics,US,3960.0,AA Clay Studio For The People,4098.0,successful
215,103,Ceramics,US,2425.0,Decker-Smith Pottery Returns!,7550.0,successful
216,42,Conceptual Art,NL,30000.0,Like a Pearl in my Hand (Canceled),8582.3557533,canceled
217,6,Conceptual Art,US,2200.0,Fluttering into a Faerie (Canceled),355.0,canceled
218,0,Conceptual Art,US,2000.0,The Greatest Album Covers Poster: You Choose the 50 Images,0.0,canceled
219,1,Conceptual Art,US,100.0,Becoming a Writer (Canceled),1.0,canceled
220,0,Conceptual Art,US,24000.0,"Launch your stuff into outer space, but later. (Canceled)",0.0,canceled
221,3,Conceptual Art,US,10000.0,Pure Delight (Canceled),160.0,canceled
222,37,Conceptual Art,US,15000.0,Canceled due to Kickstarter & Amazon Fees (Canceled),2400.0,canceled
223,1,Conceptual Art,US,9800.0,RHODOPSIN (Canceled),150.0,canceled
224,3,Conceptual Art,GB,15000.0,what up? (Canceled),233.090091,canceled
225,4,Conceptual Art,GB,1950.0,Bouncy Bouncy Fun Time - Experience Some Experiential Art,290.7401614,canceled
226,1,Conceptual Art,US,3000.0,An adventure in conceptual idealism and abstract humor.,5.0,canceled
227,43,Conceptual Art,US,9666.0,Six Secrets to Happily ----- Zen of Happily Chair Kit Sex,1313.0,canceled
228,0,Conceptual Art,CA,3000.0,Majora's Mask Full Size Replica (Canceled),0.0,canceled
229,0,Conceptual Art,GB,8000.0,ThamesLark (Canceled),0.0,canceled
230,0,Conceptual Art,US,15000.0,New life like doll (Canceled),0.0,canceled
231,0,Conceptual Art,US,1000.0,Should I keep painting? (Canceled),0.0,canceled
232,4,Conceptual Art,US,200.0,Give Mike a hot tub for his birthday (Suspended),28.0,suspended
233,0,Conceptual Art,US,250.0,Pillows for Puppies! (Suspended),0.0,suspended
234,0,Conceptual Art,FR,50.0,Fart in the bottle (Suspended),0.0,suspended
235,2,Conceptual Art,US,250.0,Kickstart Our Brainstorm (for Kickstarter) (Suspended),35.0,suspended
236,22,Conceptual Art,US,3000.0,Assassin's Creed: Ezio's Journey Inspired photographic works,872.0,canceled
237,0,Conceptual Art,US,15000.0,This is not the project you're looking for... (Canceled),0.0,canceled
238,2,Conceptual Art,US,4000.0,Customized Family Tree on Canvas. Picture is to show leaves.,20.0,canceled
239,6,Conceptual Art,US,300.0,100 Monsters in 1 Month (Canceled),28.0,canceled
240,5,Conceptual Art,US,105000.0,"Edible Clothing Project, (Canceled)",725.0,canceled
241,3,Conceptual Art,US,10000.0,Mobile Eco-Friendly Glass Studio (Canceled),141.0,canceled
242,0,Conceptual Art,US,5000.0,Pale Project Concept Album (Canceled),0.0,canceled
243,0,Conceptual Art,FR,500000.0,"ULTRA LIGHT / PALAIS ROYAL / PARIS, FRANCE (Canceled)",0.0,canceled
244,12,Conceptual Art,US,1500.0,MockTales: Project Molten - Art Book (Canceled),333.0,canceled
245,12,Conceptual Art,US,1664.0,Abstract Visionary Art (Canceled),265.0,canceled
246,26,Conceptual Art,US,666.0,comicbook (Canceled),1303.0,canceled
247,3,Conceptual Art,US,5000.0,"""Voices - Connecting in the Modern World"" (Canceled)",150.0,canceled
248,2,Conceptual Art,CA,5.0,Draw Something (Canceled),2.81676918,canceled
249,2,Conceptual Art,US,2000.0,"The One Eyed Tulips Project-the Art, the Mag and the Show",70.0,canceled
250,0,Conceptual Art,IT,12000.0,Block 7 (Canceled),0.0,canceled
251,0,Conceptual Art,US,1000.0,KONNICHIWA SF (Canceled),0.0,canceled
252,2,Conceptual Art,US,1000.0,Christmas Decor - The Curl Art (Canceled),15.0,canceled
253,0,Conceptual Art,US,2000.0,Cacoon Cards (Canceled),0.0,canceled
254,0,Conceptual Art,US,9000.0,Life Rocks (Canceled),0.0,canceled
255,0,Conceptual Art,US,5000.0,The Value of Life is Underdetermined (Canceled),0.0,canceled
256,5,Conceptual Art,US,800.0,How Cool is Your Stool?: Reshaping the City (Canceled),195.0,canceled
257,1,Conceptual Art,US,1200.0,15 Seconds of Fame (A Mutant Vehicle) (Canceled),20.0,canceled
258,0,Conceptual Art,GB,500.0,Visualizing gay marriage by people from xUSSR. (Canceled),0.0,canceled
259,0,Conceptual Art,US,1000.0,Drowning Man (Canceled),0.0,canceled
260,0,Conceptual Art,US,5000.0,Test Project (Canceled),0.0,canceled
261,3,Conceptual Art,US,1000.0,Hawaiian Aina Art (Canceled),112.0,canceled
262,0,Conceptual Art,US,500.0,Trans-Continental Inter-Dimensional House of Terror,0.0,canceled
263,0,Conceptual Art,US,50000.0,N/A (Canceled),0.0,canceled
264,5,Conceptual Art,US,5800.0,A Priority Delivery Service to the Arctic Circle (Canceled),305.0,canceled
265,1,Conceptual Art,US,800.0,Exhibition- Questioning what makes art (Canceled),3.0,canceled
266,3,Conceptual Art,US,3500.0,[Removed] (Canceled),41.0,canceled
267,21,Conceptual Art,US,11000.0,Project (Canceled),450.0,canceled
268,59,Conceptual Art,US,6000.0,Archiving Cane (Canceled),6000.0,canceled
269,0,Conceptual Art,GB,300.0,Official 2015 Jonny Yeahhbuzz Time Map (Canceled),0.0,canceled
270,0,Conceptual Art,AU,3000.0,FAUX (Canceled),0.0,canceled
271,0,Conceptual Art,US,1000.0,You and Me And All Our Friends 1.0 - China Edition,0.0,canceled
272,1,Conceptual Art,US,15000.0,Creating a Masterpiece (Canceled),3.0,canceled
273,1,Conceptual Art,US,3000.0,Civil Rights in Burma (Canceled),25.0,canceled
274,0,Conceptual Art,US,5000.0,"fairyland, the creation of an obscure place (Canceled)",0.0,canceled
275,0,Conceptual Art,AU,11000.0,A English Korean Comic About Robots and Humans. (Canceled),0.0,canceled
276,16,Conceptual Art,US,10000.0,Crowdsource a Musical Adventure (Canceled),140.69,canceled
277,38,Conceptual Art,US,15000.0,The Kentifrican Museum of Culture @ Leimert Park Village,1131.0,canceled
278,15,Conceptual Art,US,5000.0,"""Rehearsal/Recording"" (Canceled)",735.0,canceled
279,1,Conceptual Art,GB,3500.0,Weaving the woolen muffler for the alpaca I sheared,1.60835573,canceled
280,0,Conceptual Art,US,15000.0,RE33URECTION > LARGE SCALE NEURO-ART MOVEMENT (Canceled),0.0,canceled
281,25,Conceptual Art,US,2000.0,On the Ideology of Berlin: Trans-formation (Canceled),2025.0,canceled
282,1,Conceptual Art,US,3750.0,Hello World - Kickstarter Test (Canceled),3.0,canceled
283,1,Conceptual Art,US,7722.0,Domesticating the Numinous: Art Basel Miami 2016 (Canceled),2.0,canceled
284,4,Conceptual Art,US,20000.0,The Carousal Variety Tour (Canceled),135.0,canceled
285,1,Conceptual Art,US,13333.0,The Heart Star Project (Canceled),25.0,canceled
286,13,Conceptual Art,US,10000.0,Hudson Valley Art Incubator (Canceled),900.0,canceled
287,0,Conceptual Art,US,5500.0,"I learned what I can live without, and this isn't it.",0.0,canceled
288,1,Conceptual Art,US,15000.0,Celebrate Northeast Minneapolis with the Northeast Ride!,10.0,canceled
289,0,Conceptual Art,US,23436.0,Subject Eve Storyboards (Canceled),0.0,canceled
290,6,Conceptual Art,US,5000.0,2D^3 (Canceled),785.0,canceled
291,0,Conceptual Art,US,3000.0,Project Brix (Canceled),0.0,canceled
292,0,Conceptual Art,US,100000.0,N/A (Canceled),0.0,canceled
293,1,Conceptual Art,US,1000.0,Hardwood Culinary Accessories Crafted from Reclaimed Wood,150.0,canceled
294,8,Conceptual Art,US,2016.0,audaces fortuna iuvat (Canceled),156.0,canceled
295,1,Conceptual Art,US,8500.0,Campaign Re/Form: Artist Super PAC (Canceled),50.0,canceled
296,1,Conceptual Art,US,9000.0,Protected Moon Park (stage 1),20.0,failed
297,0,Conceptual Art,US,1000.0,Custom Nail Art,0.0,failed
298,0,Conceptual Art,GB,1500.0,Returning Art,0.0,failed
299,0,Conceptual Art,US,5000.0,Immigration Law Library,0.0,failed
300,0,Conceptual Art,US,130000.0,Northwest Arkansas first art studio!,0.0,failed
301,1,Conceptual Art,US,10000.0,Blue Moon Studios art work by special needs kids and adults,8.0,failed
302,0,Conceptual Art,US,3000000.0,Vehicle Accident Museum,0.0,failed
303,0,Conceptual Art,US,100.0,Dank Meme Bucks,0.0,failed
304,5,Conceptual Art,US,1000.0,Random Open Source Code,180.0,failed
305,2,Conceptual Art,US,400.0,My First Art Show,60.0,failed
306,2,Conceptual Art,US,3500.0,Angel's Art Shop,150.0,failed
307,2,Conceptual Art,US,600.0,Chicago Fire Sticker Project,25.0,failed
308,3,Conceptual Art,AU,10000.0,Jennuensouls Trade Fair Product Launch,198.49471065,failed
309,5,Conceptual Art,US,500.0,Gibberish: The Activity Book,227.0,failed
310,0,Conceptual Art,GB,1000.0,Pray for Paris,0.0,failed
311,0,Conceptual Art,US,500.0,art is healing,0.0,failed
312,0,Conceptual Art,US,2500.0,Ecstasy Music & Fashion,0.0,failed
313,4,Conceptual Art,IE,2500.0,ISIS Flag Toilet Paper,75.96824772,failed
314,0,Conceptual Art,US,600.0,Creative Creation,0.0,failed
315,1,Conceptual Art,US,25.0,The Paper Airplane Project,1.0,failed
316,0,Conceptual Art,CA,500.0,Silver Sharpie,0.0,failed
317,0,Conceptual Art,US,5000.0,Caught in Motion,0.0,failed
318,0,Conceptual Art,GB,10.0,Yorkshire Air,0.0,failed
319,0,Conceptual Art,US,2000.0,The Living Journal -- A Veteran's Ten-Year Journey,0.0,failed
320,1,Conceptual Art,US,4500.0,THE TOTE BAG PROJECT: Upcycle the Trend,40.0,failed
321,0,Conceptual Art,US,4000.0,Create a Colorful World: Color Artwork for Homes and Offices,0.0,failed
322,1,Conceptual Art,US,2000.0,Forever Rose,1.0,failed
323,3,Conceptual Art,US,5000.0,Please help!!!,1025.0,failed
324,0,Conceptual Art,US,13666.0,"Sadness Museum & Hotel, NYC",0.0,failed
325,0,Conceptual Art,SE,888.0,Dazed keys Almanac,0.0,failed
